0, Convolution2DFunction, 0.00022927568109989806
1, BatchNormalization, 0.0002172362439083372
2, ReLU, 8.585719970433274e-05
3, Convolution2DFunction, 0.0003148929537033837
4, BatchNormalization, 0.0002151057133842187
5, ReLU, 9.029853550091502e-05
6, Convolution2DFunction, 0.0003109175733065058
7, BatchNormalization, 0.00021517605689969058
8, ReLU, 9.346827680838033e-05
9, Convolution2DFunction, 0.0003121729050151771
10, BatchNormalization, 0.00021569956819948857
11, ReLU, 9.54040048056413e-05
12, Convolution2DFunction, 0.00031198272220935903
13, BatchNormalization, 0.0002163205158063647
14, ReLU, 9.484873268684168e-05
15, Convolution2DFunction, 0.00031076528030225744
16, BatchNormalization, 0.00021606572629916628
17, ReLU, 9.675783371167199e-05
18, Convolution2DFunction, 0.0003185853151946503
19, BatchNormalization, 0.00021678015840498118
20, ReLU, 9.738909370535112e-05
21, Convolution2DFunction, 0.0002582404472932467
22, BatchNormalization, 0.00016555198199803272
23, ReLU, 6.385666478436179e-05
24, Convolution2DFunction, 0.0002696810485007518
25, BatchNormalization, 0.00016436071149601047
26, Convolution2DFunction, 0.00018801251851382404
27, BatchNormalization, 0.00016295649420171684
28, Add, 2.63418865035419e-05
29, ReLU, 6.197196620450995e-05
30, Convolution2DFunction, 0.0002779610973964736
31, BatchNormalization, 0.0001645824206965699
32, ReLU, 6.443459011388767e-05
33, Convolution2DFunction, 0.0002642080321025787
34, BatchNormalization, 0.00016450138501095351
35, ReLU, 6.349342820176389e-05
36, Convolution2DFunction, 0.00027021115760308024
37, BatchNormalization, 0.00016584283280044474
38, ReLU, 6.599549121310702e-05
39, Convolution2DFunction, 0.0002886796071066783
40, BatchNormalization, 0.00020190486679712194
41, ReLU, 7.434126680218469e-05
42, Convolution2DFunction, 0.00024352614460112818
43, BatchNormalization, 0.00014351014530584506
44, ReLU, 4.58564313050374e-05
45, Convolution2DFunction, 0.0002903583093902853
46, BatchNormalization, 0.00014301459419421007
47, Convolution2DFunction, 0.00017830448349668586
48, BatchNormalization, 0.00014223075810605224
49, Add, 2.5096771694552445e-05
50, ReLU, 4.38303363031082e-05
51, Convolution2DFunction, 0.00029018211510610856
52, BatchNormalization, 0.0001430520905993035
53, ReLU, 4.555282489964156e-05
54, Convolution2DFunction, 0.00028905023150182385
55, BatchNormalization, 0.00014395842909907514
56, ReLU, 4.5864552502280275e-05
57, Convolution2DFunction, 0.00028951479490988276
58, BatchNormalization, 0.00014376213600062328
59, ReLU, 4.507956468460179e-05
60, Convolution2DFunction, 0.00028896001579778387
61, BatchNormalization, 0.00014459357750602067
62, ReLU, 4.399582559581177e-05
63, AveragePooling2D, 0.00023690833280634252
64, Reshape, 1.3839493800333003e-05
65, LinearFunction, 3.663121669542306e-05
